T03,Population growth and indicators of fertility and mortality,,,,,
591,Panama,2025,Life expectancy at birth for females (years),82.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2010,Population annual rate of increase (percent),3.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
598,Papua New Guinea,2010,Total fertility rate (children per women),3.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2010,"Under five mortality rate for both sexes (per 1,000 live births)",58.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
598,Papua New Guinea,2010,"Maternal mortality ratio (deaths per 100,000 population)",289,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
598,Papua New Guinea,2010,Life expectancy at birth for both sexes (years),63.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2010,Life expectancy at birth for males (years),61.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2010,Life expectancy at birth for females (years),65.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2015,Population annual rate of increase (percent),2.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
598,Papua New Guinea,2015,Total fertility rate (children per women),3.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2015,"Under five mortality rate for both sexes (per 1,000 live births)",51.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
598,Papua New Guinea,2015,"Maternal mortality ratio (deaths per 100,000 population)",208,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
598,Papua New Guinea,2015,Life expectancy at birth for both sexes (years),64.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2015,Life expectancy at birth for males (years),62.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2015,Life expectancy at birth for females (years),67.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2020,Population annual rate of increase (percent),2.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
598,Papua New Guinea,2020,Total fertility rate (children per women),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2020,"Under five mortality rate for both sexes (per 1,000 live births)",44.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
598,Papua New Guinea,2020,"Maternal mortality ratio (deaths per 100,000 population)",192,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
598,Papua New Guinea,2020,Life expectancy at birth for both sexes (years),65.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2020,Life expectancy at birth for males (years),62.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
598,Papua New Guinea,2020,Life expectancy at birth for females (years),68.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
